,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,shuffle,num_workers
54,11,5,0.32478530208269757,0.87875,2.8316421508789062,15.273125410079956,0.01,1000,False,8
55,12,1,0.9734329581260681,0.6257,3.030207872390747,4.011126518249512,0.01,1000,False,16
56,12,2,0.5167371650536855,0.7983833333333333,2.872819662094116,6.984321117401123,0.01,1000,False,16
57,12,3,0.41905291229486463,0.8448333333333333,2.878173589706421,9.96189284324646,0.01,1000,False,16
58,12,4,0.3667404512564341,0.8655333333333334,2.8990674018859863,12.96403694152832,0.01,1000,False,16
59,12,5,0.33774697631597517,0.8751833333333333,2.91384220123291,15.973838567733765,0.01,1000,False,16
60,13,1,1.2379797061284383,0.5230166666666667,6.955998659133911,7.544657945632935,0.01,2000,True,0
61,13,2,0.6343378404776255,0.7582666666666666,6.728470325469971,14.356136322021484,0.01,2000,True,0
62,13,3,0.5088448097308477,0.8083666666666667,6.779388427734375,21.22034239768982,0.01,2000,True,0
63,13,4,0.45691221257050835,0.8310666666666666,6.719555854797363,28.016732215881348,0.01,2000,True,0
64,13,5,0.4151471962531408,0.8474166666666667,6.81926155090332,34.9159038066864,0.01,2000,True,0
65,14,1,1.2427464803059896,0.5329,5.078397035598755,6.23136305809021,0.01,2000,True,1
66,14,2,0.6668510893980663,0.7404,5.020960569381714,11.340683937072754,0.01,2000,True,1
67,14,3,0.5552832424640656,0.7848166666666667,5.012174844741821,16.437407970428467,0.01,2000,True,1
68,14,4,0.49036363561948143,0.8130166666666667,5.010106086730957,21.543132305145264,0.01,2000,True,1
69,14,5,0.4493150373299917,0.8342833333333334,5.008753776550293,26.651020288467407,0.01,2000,True,1
70,15,1,1.2644990344842275,0.5082833333333333,3.253889560699463,4.42749810218811,0.01,2000,True,2
71,15,2,0.6171325822671254,0.7519833333333333,3.1370527744293213,7.647988796234131,0.01,2000,True,2
72,15,3,0.5096271594365438,0.7999333333333334,3.3925182819366455,11.129741668701172,0.01,2000,True,2
73,15,4,0.4606935093800227,0.82205,3.128831624984741,14.350707054138184,0.01,2000,True,2
74,15,5,0.4094778597354889,0.8487333333333333,3.197781562805176,17.639524936676025,0.01,2000,True,2
75,16,1,1.3382859607537587,0.4848,3.132281541824341,4.386026620864868,0.01,2000,True,4
76,16,2,0.6923339863618215,0.7341,3.1552987098693848,7.636718511581421,0.01,2000,True,4
77,16,3,0.5687467118104299,0.7802166666666667,3.1143219470977783,10.837653160095215,0.01,2000,True,4
78,16,4,0.48810859620571134,0.8148666666666666,3.1628379821777344,14.088420391082764,0.01,2000,True,4
79,16,5,0.43668982287247976,0.8390833333333333,3.246804714202881,17.42764163017273,0.01,2000,True,4
80,17,1,1.273722728093465,0.5265333333333333,3.1129677295684814,4.369261741638184,0.01,2000,True,8
81,17,2,0.6300225635369618,0.7567166666666667,3.1481828689575195,7.602766036987305,0.01,2000,True,8
82,17,3,0.5143970976273219,0.8034,3.060145854949951,10.758528709411621,0.01,2000,True,8
83,17,4,0.4582962870597839,0.8274833333333333,3.091447353363037,13.940527439117432,0.01,2000,True,8
84,17,5,0.42074454128742217,0.8431666666666666,3.089285135269165,17.113135814666748,0.01,2000,True,8
85,18,1,1.1901221076647441,0.5433666666666667,3.071854829788208,4.667827129364014,0.01,2000,True,16
86,18,2,0.6332369228204091,0.7507333333333334,3.0741705894470215,7.830905199050903,0.01,2000,True,16
87,18,3,0.5268860777219136,0.7949,3.041857957839966,10.971942901611328,0.01,2000,True,16
88,18,4,0.4637190024058024,0.8257,3.105353355407715,14.167824506759644,0.01,2000,True,16
89,18,5,0.42207724750041964,0.8443166666666667,3.0643248558044434,17.323972940444946,0.01,2000,True,16
90,19,1,1.2650954147179923,0.5204333333333333,6.8430259227752686,7.810081243515015,0.01,2000,False,0
91,19,2,0.616224217414856,0.7561833333333333,6.809560775756836,14.704614877700806,0.01,2000,False,0
92,19,3,0.5185005168120066,0.8028,6.899934768676758,21.684563398361206,0.01,2000,False,0
93,19,4,0.4615771998961767,0.8292833333333334,6.815211296081543,28.585185766220093,0.01,2000,False,0
94,19,5,0.41657528479894,0.8491333333333333,6.815081357955933,35.47855067253113,0.01,2000,False,0
95,20,1,1.2327477236588795,0.5544833333333333,5.115718364715576,6.302060127258301,0.01,2000,False,1
96,20,2,0.6439556916554768,0.7519666666666667,5.408572196960449,11.810055494308472,0.01,2000,False,1
97,20,3,0.5354874591032664,0.7959,4.954005718231201,16.866376876831055,0.01,2000,False,1
98,20,4,0.4761018325885137,0.8214666666666667,4.999940633773804,21.956205129623413,0.01,2000,False,1
99,20,5,0.4363426297903061,0.8398333333333333,5.236678123474121,27.28204321861267,0.01,2000,False,1
100,21,1,1.3094004412492117,0.5016833333333334,3.4449946880340576,4.620708227157593,0.01,2000,False,2
101,21,2,0.6562774042288463,0.74635,3.1274237632751465,7.843141078948975,0.01,2000,False,2
102,21,3,0.5439064890146256,0.7916333333333333,3.410393714904785,11.332467079162598,0.01,2000,False,2
103,21,4,0.4848587572574615,0.8194666666666667,3.0121846199035645,14.433700323104858,0.01,2000,False,2
104,21,5,0.4420590609312057,0.8377333333333333,3.4437930583953857,17.969826698303223,0.01,2000,False,2
105,22,1,1.290813809633255,0.5074166666666666,3.1157538890838623,4.408728361129761,0.01,2000,False,4
106,22,2,0.6352587083975474,0.74725,3.092273235321045,7.593003273010254,0.01,2000,False,4
107,22,3,0.5352522184451421,0.7909,3.09072208404541,10.770911931991577,0.01,2000,False,4
108,22,4,0.4742298851410548,0.82255,3.0849831104278564,13.946273565292358,0.01,2000,False,4
109,22,5,0.43094282944997153,0.8425333333333334,3.0997467041015625,17.131471395492554,0.01,2000,False,4
110,23,1,1.2686099549134573,0.5203833333333333,3.0392706394195557,4.3900673389434814,0.01,2000,False,8
111,23,2,0.6503459890683492,0.7482166666666666,3.1233320236206055,7.598467588424683,0.01,2000,False,8
112,23,3,0.5309817423423131,0.7940333333333334,3.1153717041015625,10.782710552215576,0.01,2000,False,8
113,23,4,0.4669140726327896,0.8249833333333333,3.0643417835235596,13.938965797424316,0.01,2000,False,8
114,23,5,0.4162982960542043,0.84575,3.0855844020843506,17.097562789916992,0.01,2000,False,8
115,24,1,1.2434393187363944,0.52665,3.054694890975952,4.612505674362183,0.01,2000,False,16
116,24,2,0.6295377333958944,0.7543666666666666,3.0668110847473145,7.770782947540283,0.01,2000,False,16
117,24,3,0.5305273046096166,0.79465,3.094750165939331,10.9504976272583,0.01,2000,False,16
118,24,4,0.475299741824468,0.8211166666666667,3.0155820846557617,14.051331758499146,0.01,2000,False,16
119,24,5,0.43888656596342723,0.8363333333333334,3.07145094871521,17.218620777130127,0.01,2000,False,16
